,Water_(g),Lipid_Tot_(g),Carbohydrt_(g),A,0,1
1326,84.5,2.4,10.4,A,PREGO,"['PASTA', 'ORGANIC', 'MUSHROOM', 'ITALIAN', 'SAU', 'RTS']"
1327,83.0,2.4,10.4,A,PREGO,"['PASTA', 'ORGNIC', 'TOMATO', '&', 'BASIL', 'ITAL', 'SAU', 'RTS']"
1328,83.0,2.0,10.4,A,PREGO,"['PASTA', 'HEART', 'SMRT-', 'RICOTTA', 'PMESAN', 'ITLN', 'SAU', 'RTS']"
1329,83.5,2.31,10.0,A,PREGO,"['PASTA', 'RSTD', 'GARLIC', '&', 'HERB', 'ITAL', 'SAU', 'RTS']"
1330,83.7,0.77,10.0,A,PREGO,"['PASTA', 'RSTD', 'GARLIC', 'PARMESAN', 'ITAL', 'SAU', 'RTS']"
1331,83.5,1.2,10.4,A,PREGO,"['PASTA', 'H', 'ST-', 'RSTD', 'RED', 'PR', 'GRLIC', 'ITLIAN', 'SAU', 'RTS']"
1332,83.5,2.0,9.6,A,PREGO,"['PASTA', 'TOMATO', 'BASIL', '&', 'GARLIC', 'ITAL', 'SAU', 'RTS']"
1333,80.2,2.69,13.85,A,PREGO,"['PASTA', 'ZESTY', 'MUSHROOM', 'ITALIAN', 'SAU', 'RTS']"
1334,85.3,1.22,8.57,A,CAMPBELL'S,"['CHNKY', 'MICRO', 'BOWLS', 'BF', 'W/', 'CONTRY', 'VEG', 'RTS']"
1335,84.7,3.67,7.35,A,CAMPBELL'S,"['CHUNKY', 'MICROWAVABLE', 'BWLS', 'CHCK', 'DMPLINGS', 'SOUP']"
1336,87.04,3.58,5.76,A,SOUP,"['CRM', 'OF', 'MUSHROOM', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'LOFAT', '(2%)', 'MILK']"
1337,88.9,1.22,5.71,A,CAMPBELL'S,"['', 'CHNKY', 'MICRO', 'BOWLS', 'CLSSC', 'CHIC', 'NOODL', 'RTS']"
1338,87.8,1.63,7.35,A,CAMPBELL'S,"['', 'CHNKY', 'MICRO', 'BOWL', 'GRLLD', 'CHIC&SAUS', 'GMBO', 'RTS']"
1339,84.5,3.78,7.4,A,SOUP,"['CRM', 'OF', 'ONION', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'MILK']"
1340,88.94,3.24,3.99,A,SOUP,"['OYSTER', 'STEW', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'MILK']"
1341,77.93,2.77,12.69,A,SOUP,"['PEA', 'GRN', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'MILK']"
1342,84.2,4.9,6.94,A,CAMPBELL'S,"['', 'CHNKY', 'MICRO', 'BOWL', 'NEW', 'ENGL', 'CLM', 'CHOW', 'RTS']"
1343,89.0,0.61,5.71,A,CAMPBELL'S,"['CHUNKY', 'MICRO', 'BOWLS', 'OLD', 'FASH', 'VEG', 'BF', 'RTS']"
1344,85.3,1.43,7.35,A,CAMPBELL'S,"['CHUNKY', 'MICRO', 'BOWLS', 'SIRL', 'BRGER', 'W/CNTRY', 'VEG', 'RTS']"
1345,86.67,2.6,6.92,A,SOUP,"['CRM', 'OF', 'POTATO', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'MILK']"
1346,87.11,3.23,5.64,A,SOUP,"['CRM', 'OF', 'SHRIMP', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'LOFAT', '(2%)', 'MILK']"
1347,84.02,2.56,8.29,A,SAUCE,"['WHITE', 'THIN', 'PREPARED-FROM-RECIPE', 'W/', 'BUTTER']"
1348,78.56,0.58,16.72,A,SAUCE,"['SWT', '&', 'SOUR', 'PREPARED-FROM-RECIPE']"
1349,54.22,0.62,40.77,A,SAUCE,"['BARBECUE', 'KRAFT', 'ORIGINAL']"
1350,83.15,1.64,11.28,A,CAMPBELL'S,"['CHICK', 'W/', 'RICE', 'SOUP', 'COND']"
1351,89.1,0.79,6.35,A,CAMPBELL'S,"['RED&WHITE', 'CHICK', 'WON', 'TON', 'SOUP', 'COND']"
1352,83.9,5.65,7.26,A,CAMPBELL'S,"['RED', '&', 'WHITE', 'CRM', 'OF', 'ASPARAGUS', 'SOUP', 'COND']"
1353,89.73,0.63,5.2,A,SOUP,"['HEALTHY', 'CHOIC', 'CHICK', 'NOODLE', 'SOUP', 'CND']"
1354,90.31,0.55,5.71,A,SOUP,"['HEALTHY', 'CHOIC', 'CHICK', '&', 'RICE', 'SOUP', 'CND']"
1355,86.82,0.21,10.04,A,SOUP,"['HEALTHY', 'CHOIC', 'GARDEN', 'VEG', 'SOUP', 'CND']"
1356,91.1,0.0,5.08,A,CAMPBELL'S,"['FAT', 'FREE', 'BF', 'GRAVY']"
1357,86.8,5.08,5.08,A,CAMPBELL'S,"['COUNTRY', 'STYLE', 'CRM', 'GRAVY']"
1358,78.3,10.17,5.08,A,CAMPBELL'S,"['COUNTRY', 'STYLE', 'SAUSAGE', 'GRAVY']"
1359,91.7,0.0,5.08,A,CAMPBELL'S,"['FAT', 'FREE', 'CHICK', 'GRAVY']"
1360,87.4,5.08,5.08,A,CAMPBELL'S,"['GOLDEN', 'PORK', 'GRAVY']"
1361,91.9,1.69,5.08,A,CAMPBELL'S,"['MUSHROOM', 'GRAVY']"
1362,90.6,0.0,6.67,A,CAMPBELL'S,"['FAT', 'FREE', 'TURKEY', 'GRAVY']"
1363,90.0,1.69,5.08,A,CAMPBELL'S,"['MICROWAVABLE', 'BF', 'GRAVY']"
1364,88.5,5.0,5.0,A,CAMPBELL'S,"['MICROWAVABLE', 'CHICK', 'GRAVY']"
1365,89.8,1.69,5.08,A,CAMPBELL'S,"['TURKEY', 'GRAVY']"
1366,89.6,0.0,5.08,A,FRANCO-AMERICN,"['FAT', 'FR', 'SLW', 'RST', 'BF', 'GRAVY']"
1367,91.2,0.0,6.78,A,FRANCO-AMERICAN,"['FT', 'FE', 'SLW', 'RST', 'CHICK', 'GRVY']"
1368,89.5,0.85,5.08,A,FRANCO-AMERICAN,"['SLOW', 'RST', 'BF', 'GRAVY']"
1369,90.5,0.85,5.08,A,FRANCO-AMERICAN,"['SLOW', 'RST', 'CHICK', 'GRAVY']"
1370,88.6,0.85,6.78,A,FRANCO-AMERICAN,"['SLOW', 'RST', 'TURKEY', 'GRAVY']"
1371,89.6,1.67,5.0,A,CAMPBELL'S,"['MICROWAVABLE', 'TURKEY', 'GRAVY']"
1372,84.8,4.03,9.68,A,CAMPBELL'S,"['RED', '&', 'WHITE', 'CRM', 'OF', 'BROCCOLI', 'SOUP', 'COND']"
1373,84.4,4.84,7.26,A,CAMPBELL'S,"['RED', '&', 'WHITE', 'CRM', 'OF', 'CELERY', 'SOUP', 'COND']"
1374,82.45,7.98,6.03,A,CAMPBELL'S,"['CRM', 'OF', 'CHICK', 'SOUP', 'COND']"
1375,84.3,3.23,7.26,A,CAMPBELL'S,"['CRM', 'OF', 'CHICK', 'W/', 'HERBS', 'SOUP', 'COND']"
1376,84.76,5.5,6.59,A,CAMPBELL'S,"['CRM', 'OF', 'MUSHROOM', 'SOUP', 'COND']"
1377,86.2,2.02,8.06,A,CAMPBELL'S,"['CRM', 'OF', 'MUSHROOM', 'W/', 'RSTD', 'GARLIC', 'SOUP', 'COND']"
1378,82.2,4.84,8.06,A,CAMPBELL'S,"['RED', '&', 'WHITE', 'CRM', 'OF', 'ONION', 'SOUP', 'COND']"
1379,82.0,1.35,13.25,A,CAMPBELL'S,"['CRM', 'OF', 'POTATO', 'SOUP', 'COND']"
1380,85.8,4.84,6.45,A,CAMPBELL'S,"['RED', '&', 'WHITE', 'CRM', 'OF', 'SHRIMP', 'SOUP', 'COND']"
1381,79.1,5.65,8.87,A,CAMPBELL'S,"['RED&WHITE', 'CREAMY', 'CHICK', 'NOODLE', 'SOUP', 'COND']"
1382,85.7,1.59,8.73,A,CAMPBELL'S,"['RED', '&', 'WHITE', 'SCOOBY-DOO', 'SOUP', 'COND']"
1383,79.5,1.59,15.87,A,CAMPBELL'S,"['RED', '&', 'WHITE', 'DOUBLE', 'NOODLE', 'IN', 'CHICK', 'BROTH', 'SOP', 'COND']"
1384,74.5,1.59,18.25,A,CAMPBELL'S,"['RED', '&', 'WHITE', 'OLD', 'FASHIONED', 'TOMATO', 'RICE', 'SOUP', 'COND']"
1385,80.3,6.45,8.06,A,CAMPBELL'S,"['RED', '&', 'WHITE', 'FIESTA', 'NACHO', 'CHS', 'SOUP', 'COND']"
1386,91.0,1.19,4.76,A,CAMPBELL'S,"['RED', '&', 'WHITE', 'FRENCH', 'ONION', 'SOUP', 'COND']"
1387,87.2,2.82,8.06,A,CAMPBELL'S,"['RED', '&', 'WHITE', 'GOLDEN', 'MUSHROOM', 'SOUP', 'COND']"
1388,85.7,1.59,9.52,A,CAMPBELL'S,"['RED', '&', 'WHITE', 'GOLDFISH', 'PASTA', 'W/', 'CHICK']"
1389,81.51,2.63,11.73,A,SOUP,"['TOMATO', 'BISQUE', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'MILK']"
1390,85.98,1.3,8.95,A,SOUP,"['TOMATO', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'LOFAT', '(2%)', 'MILK']"
1391,66.8,2.34,21.88,A,CAMPBELL'S,"['RED', '&', 'WHITE', 'GRN', 'PEA', 'SOUP', 'COND']"
1392,85.9,1.28,7.53,A,CAMPBELL'S,"['HOMESTYLE', 'CHICK', 'NOODLE', 'SOUP', 'COND']"
1393,86.4,0.4,9.52,A,CAMPBELL'S,"['RED', '&', 'WHITE', 'MANHATTAN', 'CLAM', 'CHOWDER', 'COND']"
1394,82.8,1.59,11.9,A,CAMPBELL'S,"['RED', '&', 'WHITE', 'MEGA', 'NOODLE', 'IN', 'CHICK', 'BROTH', 'COND']"
1395,79.7,0.79,13.49,A,CAMPBELL'S,"['RED', '&', 'WHITE', 'MINESTRONE', 'SOUP', 'COND']"
1396,83.3,1.98,10.32,A,CAMPBELL'S,"['RED', '&', 'WHITE', 'NEW', 'ENGLAND', 'CLAM', 'CHOWDER', 'COND']"
1397,81.6,0.4,14.29,A,CAMPBELL'S,"['RED', '&', 'WHITE', 'VEGETARIAN', 'VEG', 'SOUP', 'COND']"
1398,78.7,0.4,16.67,A,CAMPBELL'S,"['RED', '&', 'WHITE', 'VEG', 'SOUP', 'COND']"
1399,82.0,0.26,11.8,A,CAMPBELL'S,"['VEG', 'BF', 'SOUP', 'COND']"
1400,80.79,0.44,15.22,A,CAMPBELL'S,"['TOMATO', 'SOUP', 'COND']"
1401,75.4,2.78,18.25,A,CAMPBELL'S,"['RED', '&', 'WHITE', 'TOMATO', 'BISQUE', 'COND']"
1402,66.0,1.56,23.44,A,CAMPBELL'S,"['RED', '&', 'WHITE', 'SPLIT', 'PEA', 'W/', 'HAM', '&', 'BACON', 'SOUP', 'COND']"
1403,83.8,3.67,9.39,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'BKD', 'POTATO', 'CHEDDAR', 'BACON', 'BITS', 'SOUP']"
1404,82.3,4.08,8.57,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'BKD', 'POTATO', 'W/', 'STEAK', '&', 'CHS', 'SOUP']"
1405,87.7,0.41,6.94,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'BF', 'RIB', 'RST', 'POTATOES', 'HERBS', 'SOUP']"
1406,85.3,1.22,7.35,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'BF', 'W/', 'COUNTRY', 'VEG', 'SOUP']"
1407,84.3,0.61,9.8,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'BF', 'W/', 'WHITE', '&', 'WILD', 'RICE', 'SOUP']"
1408,85.59,3.19,7.09,A,CAMPBELL'S,"['CHUNKY', 'CREAMY', 'CHICK', '&', 'DUMPLINGS', 'SOUP']"
1409,83.22,4.49,8.16,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'CHICK', 'BROCCOLI', 'CHS', '&', 'POTATO', 'SOUP']"
1410,83.8,4.08,8.16,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'CHICK', 'CORN', 'CHOWDER']"
1411,88.9,1.3,5.41,A,CAMPBELL'S,"['CHUNKY', 'CLASSIC', 'CHICK', 'NOODLE', 'SOUP']"
1412,83.9,0.61,9.39,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'FAJITA', 'CHICK', 'W/', 'RICE', '&', 'BNS', 'SOUP']"
1413,78.7,3.27,10.2,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'FIREHOUSE', '-', 'HOT', 'SPICY', 'BF', 'BEAN', 'CHILI']"
1414,85.6,1.22,8.57,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'GRILLED', 'CHICK', 'SAUSAGE', 'GUMBO', 'SOUP']"
1415,88.8,1.02,5.71,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'GRILLED', 'CHICK', 'VEG', '&', 'PASTA', 'SOUP']"
1416,91.8,1.68,4.38,A,SOUP,"['CRM', 'OF', 'ASPARAGUS', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1417,87.62,0.66,7.71,A,SOUP,"['BLACK', 'BEAN', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1418,87.0,0.82,7.76,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'GRILLED', 'SIRLOIN', 'STEAK', 'HEARTY', 'VEG', 'SP']"
1419,85.35,2.16,8.31,A,SOUP,"['BEAN', 'W/', 'PORK', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1420,87.59,0.97,5.88,A,CAMPBELL'S,"['CHUNKY', 'HEALTHY', 'REQUEST', 'CHICK', 'NOODLE', 'SOUP']"
1421,83.03,2.79,8.8,A,SOUP,"['BEAN', 'W/', 'FRANKFURTERS', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1422,87.7,0.41,9.8,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'HEALTHY', 'REQUEST', 'VEG', 'SOUP']"
1423,92.16,1.23,3.58,A,SOUP,"['BF', 'NOODLE', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1424,92.27,2.29,3.62,A,SOUP,"['CRM', 'OF', 'CELERY', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1425,88.12,4.24,4.26,A,SOUP,"['CHS', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1426,91.78,2.29,2.51,A,SOUP,"['CHICK', 'W/', 'DUMPLINGS', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1427,95.95,0.57,0.38,A,SOUP,"['CHICK', 'BROTH', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1428,81.6,0.82,12.24,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'HEARTY', 'BEAN', ""'N'"", 'HAM', 'SOUP']"
1429,82.6,0.82,10.61,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'HEARTY', 'BF', 'BARLEY', 'SOUP']"
1430,90.62,3.02,3.8,A,SOUP,"['CRM', 'OF', 'CHICK', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1431,93.84,0.59,3.43,A,SOUP,"['CHICK', 'GUMBO', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1432,88.6,0.82,6.94,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'HEARTY', 'CHICK', 'W/', 'VEG', 'SOUP']"
1433,93.82,0.95,2.95,A,SOUP,"['CHICK', 'NOODLE', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1434,93.87,0.78,2.92,A,SOUP,"['CHICK', 'W/', 'RICE', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1435,85.68,1.24,9.23,A,SOUP,"['CHILI', 'BF', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1436,92.26,0.86,4.77,A,SOUP,"['CLAM', 'CHOWDER', 'MANHATTAN', 'CND', 'PREP', 'W/EQ', 'VOLUME', 'H2O']"
1437,87.9,1.43,7.76,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'MANHATTAN', 'CLAM', 'CHOWDER']"
1438,90.89,1.01,5.05,A,SOUP,"['CLAM', 'CHOWDER', 'NEW', 'ENGLAND', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1439,83.52,3.85,9.01,A,CAMPBELL'S,"['CHUNKY', 'NEW', 'ENGLAND', 'CLAM', 'CHOWDER']"
1440,96.24,0.0,0.73,A,SOUP,"['BF', 'BROTH', 'BOUILLON', 'CONSOMME', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1441,83.8,4.49,6.94,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'OLD', 'FASHIONED', 'POTATO', 'HAM', 'CHOWDER']"
1442,88.06,1.23,6.24,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'OLD', 'FASHIONED', 'VEG', 'BF', 'SOUP']"
1443,78.7,3.27,10.2,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'ROADHOUSE', '-', 'BF', 'BEAN', 'CHILI']"
1444,85.2,1.84,7.76,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'SALISBURY', 'STEAK', 'MUSHRMS', 'ONIONS', 'SOUP']"
1445,88.0,0.82,7.35,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'SAVORY', 'CHICK', 'WHITE', 'WILD', 'RICE', 'SOUP']"
1446,91.33,1.04,4.66,A,SOUP,"['MINESTRONE', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1447,87.3,0.41,8.16,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'SAVORY', 'POT', 'RST', 'SOUP']"
1448,92.4,0.93,4.8,A,SOUP,"['MUSHROOM', 'BARLEY', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1449,92.46,2.59,3.33,A,SOUP,"['CRM', 'OF', 'MUSHROOM', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1450,92.08,1.65,3.81,A,SOUP,"['MUSHROOM', 'W/', 'BF', 'STOCK', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1451,90.5,2.16,5.2,A,SOUP,"['CRM', 'OF', 'ONION', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1452,88.2,0.41,8.98,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'SAVORY', 'VEG', 'SOUP']"
1453,94.86,1.59,1.69,A,SOUP,"['OYSTER', 'STEW', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1454,84.55,1.09,9.88,A,SOUP,"['PEA', 'GRN', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1455,81.77,1.74,11.05,A,SOUP,"['PEA', 'SPLIT', 'W/', 'HAM', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1456,92.49,0.97,4.7,A,SOUP,"['CRM', 'OF', 'POTATO', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1457,80.0,1.22,11.02,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'GRILLED', 'STEAK-', 'STEAK', 'CHILI', 'W/', 'BNS']"
1458,92.38,2.07,3.27,A,SOUP,"['CRM', 'OF', 'SHRIMP', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1459,87.1,0.61,7.35,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'SLOW', 'RSTD', 'BF', 'W/', 'MUSHROOMS', 'SOUP']"
1460,81.0,1.02,12.24,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'SPLIT', 'PEA', ""'N'"", 'HAM', 'SOUP']"
1461,86.99,1.71,8.44,A,SOUP,"['TOMATO', 'BF', 'W/', 'NOODLE', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1462,86.5,0.82,7.35,A,CAMPBELL'S,"['CHUNKY', 'SOUPS', 'STEAK', ""'N'"", 'POTATO', 'SOUP']"
1463,88.52,1.06,8.54,A,SOUP,"['TOMATO', 'RICE', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1464,92.99,0.82,3.54,A,SOUP,"['TURKEY', 'NOODLE', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1465,92.89,1.26,3.58,A,SOUP,"['TURKEY', 'VEG', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1466,92.41,0.79,4.89,A,SOUP,"['VEGETARIAN', 'VEG', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1467,98.2,0.34,0.34,A,CAMPBELL'S,"['LO', 'NA', 'SOUPS', 'CHICK', 'BROTH']"
1468,91.8,0.76,4.06,A,SOUP,"['VEG', 'BF', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1469,91.59,0.78,5.35,A,SOUP,"['VEG', 'W/', 'BF', 'BROTH', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1470,98.69,0.08,0.25,A,SOUP,"['BF', 'BROTH', 'OR', 'BOUILLON', 'PDR', 'PREP', 'W/H2O']"
1471,98.69,0.08,0.25,A,SOUP,"['BF', 'BROTH', 'CUBED', 'PREP', 'W/H2O']"
1472,98.28,0.23,0.3,A,SOUP,"['CHICK', 'BROTH', 'OR', 'BOUILLON', 'DRY', 'PREP', 'W/', 'H2O']"
1473,97.43,0.12,0.62,A,SOUP,"['CHICK', 'BROTH', 'CUBES', 'DRY', 'PREP', 'W/', 'H2O']"
1474,88.8,1.48,5.57,A,CAMPBELL'S,"['LO', 'NA', 'SOUPS', 'CHICK', 'W/', 'NOODLES', 'SOUP']"
1475,90.94,2.04,5.11,A,SOUP,"['CRM', 'OF', 'CHICK', 'DRY', 'MIX', 'PREP', 'W/', 'H2O']"
1476,89.4,2.68,6.38,A,CAMPBELL'S,"['LO', 'NA', 'SOUPS', 'CRM', 'OF', 'MUSHROOM', 'SOUP']"
1477,94.75,0.08,0.78,A,SOUP,"['CONSOMME', 'W/', 'GELATIN', 'DRY', 'MIX', 'PREP', 'W/', 'H2O']"
1478,95.8,0.01,2.77,A,SOUP,"['ONION', 'DRY', 'MIX', 'PREP', 'W/', 'H2O']"
1479,92.4,0.82,4.08,A,CAMPBELL'S,"['RED', '&', 'WHITE', '-', 'MCRWVEABLE', 'BOWLS', 'CHICK', 'NOODLE', 'SOUP']"
1480,89.88,0.61,7.17,A,SOUP,"['TOMATO', 'DRY', 'MIX', 'PREP', 'W/', 'H2O']"
1481,92.0,0.41,5.71,A,CAMPBELL'S,"['RED', '&', 'WHITE', '-', 'MICROWAVEABLE', 'BOWLS', 'CHICK', 'RICE', 'SOUP']"
1482,84.7,2.04,10.2,A,CAMPBELL'S,"['RED', '&', 'WHITE', '-', 'MCRWVEABLE', 'BOWLS', 'CREAMY', 'TOMATO', 'SOUP']"
1483,87.4,0.0,9.8,A,CAMPBELL'S,"['RED', '&', 'WHITE', '-', 'MICROWAVEABLE', 'BOWLS', 'TOMATO', 'SOUP']"
1484,90.6,0.2,6.12,A,CAMPBELL'S,"['RED', '&', 'WHITE', '-', 'MICROWAVEABLE', 'BOWLS', 'VEG', 'BF', 'SOUP']"
1485,89.8,1.22,7.76,A,CAMPBELL'S,"['HOMESTYLE', 'BUTTERNUT', 'SQUASH', 'BISQUE']"
1486,94.16,0.55,3.67,A,SOUP,"['CHICK', 'NOODLE', 'DRY', 'MIX', 'PREP', 'W/', 'H2O']"
1487,88.7,1.63,6.12,A,CAMPBELL'S,"['HOMESTLYE', 'LT', 'NEW', 'ENGLAND', 'CLAM', 'CHOWDER']"
1488,87.0,1.02,7.76,A,CAMPBELL'S,"['HOMESTYLE', 'HR', 'MEXICAN', 'STYLE', 'CHICK', 'TORTILLA']"
1489,89.2,1.43,6.12,A,CAMPBELL'S,"['HOMESTYLE', 'ITALIAN-STYLE', 'WEDDING', 'SOUP']"
1490,86.4,0.82,8.16,A,CAMPBELL'S,"['HOMESTYLE', 'MEXICAN', 'STYLE', 'CHICK', 'TORTILLA', 'SOUP']"
1491,88.3,0.41,7.35,A,CAMPBELL'S,"['HOMESTYLE', 'MINESTRONE', 'SOUP']"
1492,86.53,4.23,5.68,A,CAMPBELL'S,"['HOMESTYLE', 'NEW', 'ENGLAND', 'CLAM', 'CHOWDER']"
1493,88.0,3.67,6.94,A,CAMPBELL'S,"['HOMESTYLE', 'POTATO', 'BROCCOLI', 'CHS', 'SOUP']"
1494,92.6,1.23,2.6,A,SOUP,"['BF', 'MUSHROOM', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1495,88.7,0.41,6.94,A,CAMPBELL'S,"['HOMESTYLE', 'CHICK', 'W/', 'WHITE', '&', 'WILD', 'RICE', 'SOUP']"
1496,90.0,3.75,3.8,A,SOUP,"['CHICK', 'MUSHROOM', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1497,87.17,1.02,9.6,A,SOUP,"['TOMATO', 'BISQUE', 'CND', 'PREP', 'W/', 'EQ', 'VOLUME', 'H2O']"
1498,91.38,0.28,6.57,A,SOUP,"['TOMATO', 'CND', 'PREP', 'W/EQ', 'VOLUME', 'H2O', 'COMM']"
1499,88.9,0.2,7.35,A,CAMPBELL'S,"['HOMESTYLE', 'VEG', 'MEDLEY', 'SOUP']"
1500,6.52,17.59,60.26,A,SOUP,"['RAMEN', 'NOODLE', 'ANY', 'FLAVOR', 'DRY']"
1501,82.7,5.3,7.7,A,SOUP,"['BROCCOLI', 'CHS', 'CND', 'COND', 'COMM']"
1502,91.1,0.16,6.89,A,CAMPBELL'S,"['SOUP', 'ON', 'THE', 'GO', 'VEG', 'W/', 'MINI', 'RND', 'NOODLES', 'SOUP']"
1503,94.0,0.49,3.28,A,CAMPBELL'S,"['SOUP', 'ON', 'THE', 'GO', 'CHICK', '&', 'STARS', 'SOUP']"
1504,93.5,0.66,3.61,A,CAMPBELL'S,"['SOUP', 'ON', 'THE', 'GO', 'CHICK', 'W/', 'MINI', 'NOODLES', 'SOUP']"
1505,88.8,0.16,10.16,A,CAMPBELL'S,"['SOUP', 'ON', 'THE', 'GO', 'CLASSIC', 'TOMATO', 'SOUP']"
1506,90.2,3.61,4.26,A,CAMPBELL'S,"['SOUP', 'ON', 'THE', 'GO', 'CREAMY', 'BROCCOLI', 'SOUP']"
1507,91.0,2.95,3.28,A,CAMPBELL'S,"['SOUP', 'ON', 'THE', 'GO', 'CREAMY', 'CHICK', 'SOUP']"
1508,86.0,1.64,9.84,A,CAMPBELL'S,"['SOUP', 'ON', 'THE', 'GO', 'CREAMY', 'TOMATO', 'SOUP']"
1509,91.0,3.61,4.26,A,CAMPBELL'S,"['SOUP', 'ON', 'THE', 'GO', 'NEW', 'ENGLAND', 'CLAM', 'CHOWDER']"
1510,94.0,0.33,3.28,A,CAMPBELL'S,"['SOUP', 'ON', 'THE', 'GO', 'VEG', 'BF', 'SOUP']"
1511,90.3,1.97,5.25,A,CAMPBELL'S,"['SOUP', 'ON', 'THE', 'GO', 'CHEESY', 'POTATO', 'W/', 'BACON', 'FLAVOR', 'SOUP']"
1512,88.6,0.0,6.25,A,PACE,"['CHIPOTLE', 'CHUNKY', 'SALSA']"
1513,88.6,0.0,6.25,A,PACE,"['CILANTRO', 'CHUNKY', 'SALSA']"
1514,87.1,0.0,8.33,A,PACE,"['ENCHILADA', 'SAU']"
