,Water_(g),Lipid_Tot_(g),Carbohydrt_(g),A,0,1
69,88.13,3.25,4.8,A,MILK,"['WHL', '3.25%', 'MILKFAT', 'W/', 'ADDED', 'VITAMIN', 'D']"
70,87.69,3.66,4.65,A,MILK,"['PRODUCER', 'FLUID', '3.7%', 'MILKFAT']"
71,89.21,1.98,4.8,A,MILK,"['RED', 'FAT', 'FLUID', '2%', 'MILKFAT', 'W/', 'ADDED', 'VIT', 'A', '&', 'VITAMIN', 'D']"
72,88.86,1.92,4.97,A,MILK,"['RED', 'FAT', 'FLUID', '2%', 'MILKFAT', 'W/', 'ADDED', 'NFMS', '', 'VIT', 'A', '&', 'VIT', 'D']"
73,87.71,1.98,5.49,A,MILK,"['RED', 'FAT', 'FLUID', '2%', 'MILKFAT', 'PROT', 'FORT', 'W/', 'ADDED', 'VIT', 'A', '&', 'D']"
74,89.92,0.97,4.99,A,MILK,"['LOWFAT', 'FLUID', '1%', 'MILKFAT', 'W/', 'ADDED', 'VIT', 'A', '&', 'VITAMIN', 'D']"
75,89.81,0.97,4.97,A,MILK,"['LOWFAT', 'FLUID', '1%', 'MILKFAT', 'W/', 'ADD', 'NONFAT', 'MILK', 'SOL', 'VIT', 'A/', 'D']"
76,88.74,1.17,5.52,A,MILK,"['LOWFAT', 'FLUID', '1%', 'MILKFAT', 'PROT', 'FORT', 'W/', 'ADDED', 'VIT', 'A', '&', 'D']"
77,90.84,0.08,4.96,A,MILK,"['NONFAT', 'FLUID', 'W/', 'ADDED', 'VIT', 'A', '&', 'VIT', 'D', '(FAT', 'FREE', 'OR', 'SKIM)']"
78,90.38,0.25,5.02,A,MILK,"['NONFAT', 'FLUID', 'W/', 'ADDED', 'NONFAT', 'MILK', 'SOL', 'VIT', 'A', '&', 'VIT', 'D']"
79,89.36,0.25,5.56,A,MILK,"['NONFAT', 'FLUID', 'PROT', 'FORT', 'W/', 'ADD', 'VIT', 'A', '&', 'D', '(FAT', 'FREE/SKIM)']"
80,90.13,0.88,4.79,A,MILK,"['BTTRMLK', 'FLUID', 'CULTURED', 'LOWFAT']"
81,88.2,3.46,4.46,A,MILK,"['LO', 'NA', 'FLUID']"
82,2.47,26.71,38.42,A,MILK,"['DRY', 'WHL', 'W/', 'ADDED', 'VITAMIN', 'D']"
83,3.16,0.77,51.98,A,MILK,"['DRY', 'NONFAT', 'REG', 'WO/', 'ADDED', 'VIT', 'A', '&', 'VITAMIN', 'D']"
84,3.96,0.72,52.19,A,MILK,"['DRY', 'NONFAT', 'INST', 'W/', 'ADDED', 'VIT', 'A', '&', 'VITAMIN', 'D']"
85,4.9,0.2,51.8,A,MILK,"['DRY', 'NONFAT', 'CA', 'RED']"
86,2.97,5.78,49.0,A,MILK,"['BUTTERMILK', 'DRIED']"
87,27.16,8.7,54.4,A,MILK,"['CND', 'COND', 'SWTND']"
88,74.04,7.56,10.04,A,MILK,"['CND', 'EVAP', 'W/', 'ADDED', 'VITAMIN', 'D', '&', 'WO/', 'ADDED', 'VIT', 'A']"
89,79.4,0.2,11.35,A,MILK,"['CND', 'EVAP', 'NONFAT', 'W/', 'ADDED', 'VIT', 'A', '&', 'VITAMIN', 'D']"
90,82.3,3.39,10.34,A,MILK,"['CHOC', 'FLUID', 'COMM', 'WHL', 'W/', 'ADDED', 'VIT', 'A', '&', 'VITAMIN', 'D']"
91,82.17,1.9,12.13,A,MILK,"['CHOC', 'FLUID', 'COMM', 'RED', 'FAT']"
