Date,AAPL,AMZN,FB,GOOG,MSFT
2014-12-31,102.11004638671875,310.3500061035156,78.0199966430664,524.958740234375,41.98211669921875
2015-01-02,101.13870239257812,308.5199890136719,78.44999694824219,523.3731079101562,42.262298583984375
2015-01-05,98.28947448730469,302.19000244140625,77.19000244140625,512.4630126953125,41.8736572265625
2015-01-06,98.2987289428711,295.2900085449219,76.1500015258789,500.58563232421875,41.25905990600586
2015-01-07,99.67709350585938,298.4200134277344,76.1500015258789,499.7279968261719,41.78327941894531
2015-01-08,103.50689697265625,300.4599914550781,78.18000030517578,501.3036804199219,43.01245880126953
2015-01-09,103.617919921875,296.92999267578125,77.73999786376953,494.8114929199219,42.650936126708984
2015-01-12,101.06470489501953,291.4100036621094,76.72000122070312,491.201416015625,42.11768341064453
2015-01-13,101.96200561523438,294.739990234375,76.44999694824219,494.82147216796875,41.9007682800293
2015-01-14,101.5735092163086,293.2699890136719,76.27999877929688,499.4986267089844,41.539241790771484
2015-01-15,98.8167495727539,286.95001220703125,74.05000305175781,500.4161071777344,41.10541915893555
2015-01-16,98.04894256591797,290.739990234375,75.18000030517578,506.6888732910156,41.79231643676758
2015-01-20,100.57440948486328,289.44000244140625,76.23999786376953,505.5121154785156,41.92788314819336
2015-01-21,101.34223175048828,297.25,76.73999786376953,516.6216430664062,41.50308609008789
2015-01-22,103.97868347167969,310.32000732421875,77.6500015258789,532.9268188476562,42.59670639038086
2015-01-23,104.51525115966797,312.3900146484375,77.83000183105469,538.4716186523438,42.64189910888672
2015-01-26,104.62623596191406,309.6600036621094,77.5,533.74462890625,42.488250732421875
2015-01-27,100.96295166015625,306.75,75.77999877929688,517.2100219726562,38.55665969848633
2015-01-28,106.6706771850586,303.9100036621094,76.23999786376953,508.6036376953125,37.22805404663086
2015-01-29,109.99169158935547,311.7799987792969,78.0,509.2618103027344,37.969181060791016
2015-01-30,108.38206481933594,354.5299987792969,75.91000366210938,533.0565185546875,36.5140495300293
2015-02-02,109.74192810058594,364.4700012207031,74.98999786376953,527.0330200195312,37.30939865112305
2015-02-03,109.76042938232422,363.54998779296875,75.4000015258789,527.7909545898438,37.5986213684082
2015-02-04,110.60226440429688,364.75,75.62999725341797,521.3286743164062,37.8155403137207
2015-02-05,111.39166259765625,373.8900146484375,75.61000061035156,526.135498046875,38.366859436035156
2015-02-06,110.45364379882812,374.2799987792969,74.47000122070312,529.546142578125,38.330711364746094
2015-02-09,111.18734741210938,370.55999755859375,74.44000244140625,526.3848266601562,38.28550720214844
2015-02-10,113.32344055175781,373.0,75.19000244140625,535.4698486328125,38.502437591552734
2015-02-11,115.9795913696289,375.1400146484375,76.51000213623047,534.5025024414062,38.30360412597656
2015-02-12,117.44697570800781,377.1700134277344,76.2300033569336,541.4434814453125,38.94530487060547
2015-02-13,118.02279663085938,381.8299865722656,75.73999786376953,547.5068359375,39.65027618408203
2015-02-17,118.71932983398438,375.42999267578125,75.5999984741211,541.3536987304688,39.668487548828125
2015-02-18,119.54591369628906,373.3699951171875,76.70999908447266,538.2222900390625,39.622962951660156
2015-02-19,119.29515075683594,379.0,79.41999816894531,541.3836059570312,39.59566879272461
2015-02-20,120.27030181884766,383.6600036621094,79.9000015258789,537.474365234375,39.92335510253906
2015-02-23,123.52086639404297,380.1400146484375,78.83999633789062,530.45361328125,40.187320709228516
2015-02-24,122.7500228881836,378.5899963378906,78.44999694824219,534.6221923828125,40.13270568847656
2015-02-25,119.61090850830078,385.3699951171875,79.55999755859375,542.3809204101562,40.04167938232422
2015-02-26,121.1247329711914,384.79998779296875,80.41000366210938,553.9591064453125,40.105403900146484
2015-02-27,119.30443572998047,380.1600036621094,78.97000122070312,556.87109375,39.91424560546875
2015-03-02,119.88951873779297,385.6600036621094,79.75,569.7756958007812,39.94155502319336
2015-03-03,120.14028930664062,384.6099853515625,79.5999984741211,572.0693969726562,39.395408630371094
2015-03-04,119.37872314453125,382.7200012207031,80.9000015258789,571.8001098632812,39.195159912109375
2015-03-05,117.40056610107422,387.8299865722656,81.20999908447266,573.7547607421875,39.24066925048828
2015-03-06,117.5770034790039,380.0899963378906,80.01000213623047,566.1306762695312,38.557979583740234
2015-03-09,118.0785140991211,378.55999755859375,79.44000244140625,567.29248046875,39.00400161743164
2015-03-10,115.6359634399414,369.510009765625,77.55000305175781,553.4904174804688,38.257598876953125
2015-03-11,113.52774047851562,366.3699951171875,77.56999969482422,549.6708984375,38.21208572387695
2015-03-12,115.58023071289062,374.239990234375,78.93000030517578,553.989013671875,37.3382568359375
2015-03-13,114.78152465820312,370.5799865722656,78.05000305175781,545.8214721679688,37.66593933105469
2015-03-16,116.04460144042969,373.3500061035156,78.06999969482422,552.9917602539062,37.82978439331055
2015-03-17,117.98563385009766,371.9200134277344,79.36000061035156,549.331787109375,37.95722579956055
2015-03-18,119.31371307373047,375.1400146484375,80.91000366210938,557.9680786132812,38.6854248046875
2015-03-19,118.41284942626953,373.239990234375,82.75,556.4622192382812,38.49427032470703
2015-03-20,116.92689514160156,378.489990234375,83.80000305175781,558.8257446289062,39.031314849853516
2015-03-23,118.1435317993164,375.1099853515625,84.43000030517578,557.2799682617188,39.01310348510742
